"Date","October-20-2023"
"Time","17h23m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
5.879997e+00,-4.715823e-01,8.651182e-01,-1.708234e-01,5.929756e+01,-4.917848e+00,2.642089e-01,-1.116975e+01,1.346946e+00,-2.125520e+01,7.489969e-06,
5.999997e+00,-4.738939e-01,8.676006e-01,-1.506449e-01,5.932195e+01,-4.332150e+00,2.630531e-01,-9.850281e+00,1.356617e+00,-2.125577e+01,7.488988e-06,
6.119997e+00,-4.741438e-01,8.656381e-01,-1.608053e-01,5.935562e+01,-4.626822e+00,2.629281e-01,-1.052360e+01,1.353915e+00,-2.125510e+01,7.490134e-06,
6.239997e+00,-4.786301e-01,8.637118e-01,-1.578453e-01,5.949662e+01,-4.540926e+00,2.606850e-01,-1.035664e+01,1.336447e+00,-2.125650e+01,7.487726e-06,
6.359997e+00,-4.811013e-01,8.636993e-01,-1.502171e-01,5.955943e+01,-4.319754e+00,2.594494e-01,-9.866357e+00,1.355832e+00,-2.125353e+01,7.492857e-06,
6.479997e+00,-4.768121e-01,8.653042e-01,-1.545926e-01,5.942813e+01,-4.446585e+00,2.615939e-01,-1.012942e+01,1.343943e+00,-2.125623e+01,7.488191e-06,
6.599996e+00,-4.792749e-01,8.624425e-01,-1.627526e-01,5.953086e+01,-4.683353e+00,2.603625e-01,-1.068669e+01,1.344438e+00,-2.125445e+01,7.491264e-06,
6.719996e+00,-4.716778e-01,8.686858e-01,-1.513443e-01,5.925051e+01,-4.352420e+00,2.641611e-01,-9.882999e+00,1.355412e+00,-2.125653e+01,7.487677e-06,
6.839996e+00,-4.814952e-01,8.616342e-01,-1.604647e-01,5.959858e+01,-4.616935e+00,2.592524e-01,-1.054951e+01,1.340075e+00,-2.125550e+01,7.489455e-06,
6.959996e+00,-4.823737e-01,8.621617e-01,-1.548963e-01,5.961336e+01,-4.455390e+00,2.588131e-01,-1.018512e+01,1.353089e+00,-2.125712e+01,7.486651e-06,
7.079996e+00,-4.646311e-01,8.725965e-01,-1.506427e-01,5.901697e+01,-4.332087e+00,2.676844e-01,-9.794842e+00,1.341975e+00,-2.125475e+01,7.490748e-06,
7.199996e+00,-4.731230e-01,8.667065e-01,-1.580332e-01,5.931475e+01,-4.546377e+00,2.634385e-01,-1.033365e+01,1.339606e+00,-2.125675e+01,7.487296e-06,
7.319996e+00,-4.777660e-01,8.629395e-01,-1.645447e-01,5.948554e+01,-4.735394e+00,2.611170e-01,-1.079553e+01,1.354620e+00,-2.125716e+01,7.486591e-06,
7.439996e+00,-4.806463e-01,8.630927e-01,-1.550809e-01,5.955646e+01,-4.460743e+00,2.596769e-01,-1.018624e+01,1.335944e+00,-2.125683e+01,7.487155e-06,
7.559996e+00,-4.835215e-01,8.625666e-01,-1.489492e-01,5.963665e+01,-4.283018e+00,2.582392e-01,-9.797297e+00,1.354859e+00,-2.125707e+01,7.486749e-06,
7.679996e+00,-4.752044e-01,8.666043e-01,-1.522426e-01,5.936913e+01,-4.378457e+00,2.623978e-01,-9.963890e+00,1.346668e+00,-2.125652e+01,7.487689e-06,
7.799996e+00,-4.782663e-01,8.633519e-01,-1.608878e-01,5.949245e+01,-4.629216e+00,2.608669e-01,-1.055613e+01,1.344615e+00,-2.125775e+01,7.485573e-06,
7.919996e+00,-4.777350e-01,8.644461e-01,-1.565320e-01,5.946359e+01,-4.502830e+00,2.611325e-01,-1.026378e+01,1.355287e+00,-2.125809e+01,7.484990e-06,
8.039996e+00,-4.690617e-01,8.710198e-01,-1.459642e-01,5.915168e+01,-4.196559e+00,2.654691e-01,-9.513147e+00,1.359387e+00,-2.125686e+01,7.487114e-06,
8.159996e+00,-4.700088e-01,8.696557e-01,-1.509660e-01,5.919459e+01,-4.341456e+00,2.649956e-01,-9.847999e+00,1.356643e+00,-2.125759e+01,7.485855e-06,
8.279996e+00,-4.742071e-01,8.693175e-01,-1.393365e-01,5.930609e+01,-4.004728e+00,2.628964e-01,-9.106067e+00,1.353385e+00,-2.125802e+01,7.485101e-06,
8.399996e+00,-4.758456e-01,8.637418e-01,-1.658944e-01,5.942545e+01,-4.774599e+00,2.620772e-01,-1.087211e+01,1.354264e+00,-2.125705e+01,7.486777e-06,
8.519995e+00,-4.781240e-01,8.644429e-01,-1.553576e-01,5.947351e+01,-4.468770e+00,2.609380e-01,-1.018843e+01,1.347844e+00,-2.125699e+01,7.486886e-06,
8.639995e+00,-4.760016e-01,8.651349e-01,-1.580003e-01,5.940991e+01,-4.545423e+00,2.619992e-01,-1.034991e+01,1.346643e+00,-2.125782e+01,7.485457e-06,
8.759995e+00,-4.741137e-01,8.680879e-01,-1.471038e-01,5.932077e+01,-4.229561e+00,2.629431e-01,-9.617817e+00,1.352957e+00,-2.125790e+01,7.485321e-06,
8.879995e+00,-4.738441e-01,8.673873e-01,-1.520233e-01,5.932365e+01,-4.372099e+00,2.630780e-01,-9.941021e+00,1.348442e+00,-2.125832e+01,7.484595e-06,
8.999995e+00,-4.750612e-01,8.666714e-01,-1.523074e-01,5.936456e+01,-4.380333e+00,2.624694e-01,-9.967287e+00,1.359593e+00,-2.125794e+01,7.485252e-06,
9.119995e+00,-4.730720e-01,8.661562e-01,-1.611717e-01,5.932111e+01,-4.637455e+00,2.634640e-01,-1.054087e+01,1.341419e+00,-2.125643e+01,7.487841e-06,
9.239995e+00,-4.833220e-01,8.620723e-01,-1.524178e-01,5.963861e+01,-4.383534e+00,2.583390e-01,-1.002650e+01,1.357626e+00,-2.125790e+01,7.485321e-06,
9.359995e+00,-4.704354e-01,8.707442e-01,-1.431611e-01,5.919047e+01,-4.115405e+00,2.647823e-01,-9.336607e+00,1.352182e+00,-2.125751e+01,7.485991e-06,
9.479995e+00,-4.774266e-01,8.647364e-01,-1.558683e-01,5.945169e+01,-4.483578e+00,2.612867e-01,-1.021782e+01,1.345880e+00,-2.125821e+01,7.484775e-06,
9.599995e+00,-4.799350e-01,8.616558e-01,-1.649596e-01,5.955872e+01,-4.747444e+00,2.600325e-01,-1.083785e+01,1.348030e+00,-2.125859e+01,7.484125e-06,
9.719995e+00,-4.682284e-01,8.695149e-01,-1.571815e-01,5.915110e+01,-4.521669e+00,2.658858e-01,-1.024666e+01,1.356048e+00,-2.125641e+01,7.487890e-06,
9.839995e+00,-4.766291e-01,8.661391e-01,-1.504252e-01,5.941181e+01,-4.325785e+00,2.616854e-01,-9.852472e+00,1.353743e+00,-2.125844e+01,7.484380e-06,
9.959995e+00,-4.744408e-01,8.674122e-01,-1.500063e-01,5.933847e+01,-4.313647e+00,2.627796e-01,-9.811432e+00,1.366435e+00,-2.125942e+01,7.482692e-06,
1.007999e+01,-4.762348e-01,8.671672e-01,-1.456761e-01,5.938745e+01,-4.188215e+00,2.618826e-01,-9.536120e+00,1.335728e+00,-2.125975e+01,7.482134e-06,
1.019999e+01,-4.764934e-01,8.684453e-01,-1.369552e-01,5.937622e+01,-3.935848e+00,2.617533e-01,-8.961831e+00,1.363554e+00,-2.125877e+01,7.483806e-06,
1.031999e+01,-4.747916e-01,8.635857e-01,-1.696842e-01,5.940080e+01,-4.884728e+00,2.626042e-01,-1.111631e+01,1.348132e+00,-2.125713e+01,7.486644e-06,
1.043999e+01,-4.786763e-01,8.628270e-01,-1.624760e-01,5.951025e+01,-4.675320e+00,2.606618e-01,-1.066429e+01,1.339213e+00,-2.125760e+01,7.485827e-06,
1.055999e+01,-4.731432e-01,8.686739e-01,-1.467692e-01,5.928797e+01,-4.219872e+00,2.634284e-01,-9.589997e+00,1.366158e+00,-2.125958e+01,7.482412e-06,
1.067999e+01,-4.710161e-01,8.694931e-01,-1.487470e-01,5.922250e+01,-4.277161e+00,2.644920e-01,-9.707801e+00,1.348145e+00,-2.125845e+01,7.484359e-06,
1.079999e+01,-4.784129e-01,8.639133e-01,-1.574003e-01,5.948828e+01,-4.528015e+00,2.607935e-01,-1.032572e+01,1.350444e+00,-2.125984e+01,7.481964e-06,
1.091999e+01,-4.720336e-01,8.663248e-01,-1.632962e-01,5.929230e+01,-4.699136e+00,2.639832e-01,-1.067461e+01,1.342901e+00,-2.125859e+01,7.484128e-06,
1.103999e+01,-4.764607e-01,8.672330e-01,-1.445411e-01,5.939227e+01,-4.155353e+00,2.617697e-01,-9.462467e+00,1.354135e+00,-2.125907e+01,7.483301e-06,
1.115999e+01,-4.786777e-01,8.657524e-01,-1.460834e-01,5.946918e+01,-4.200012e+00,2.606611e-01,-9.577632e+00,1.360237e+00,-2.125966e+01,7.482276e-06,
1.127999e+01,-4.746008e-01,8.687571e-01,-1.414747e-01,5.932386e+01,-4.066594e+00,2.626996e-01,-9.249267e+00,1.366399e+00,-2.125953e+01,7.482499e-06,
1.139999e+01,-4.802715e-01,8.627674e-01,-1.580246e-01,5.955156e+01,-4.546127e+00,2.598642e-01,-1.037926e+01,1.356801e+00,-2.125981e+01,7.482015e-06,
