"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
1.349999e+00,3.076187e-02,3.396225e-01,-9.400587e-01,4.241223e+01,-3.503070e+01,5.153809e-01,-7.013633e+01,9.976257e+01,-2.371011e+01,4.255875e-06,
1.379999e+00,3.004786e-02,3.442971e-01,-9.383798e-01,4.250613e+01,-3.489061e+01,5.150239e-01,-6.985161e+01,9.984684e+01,-2.371340e+01,4.252651e-06,
1.409999e+00,3.057109e-02,3.458943e-01,-9.377753e-01,4.247458e+01,-3.484062e+01,5.152855e-01,-6.975373e+01,9.981961e+01,-2.370864e+01,4.257318e-06,
1.439999e+00,3.039332e-02,3.481629e-01,-9.369412e-01,4.250547e+01,-3.477203e+01,5.151967e-01,-6.961517e+01,9.982816e+01,-2.370481e+01,4.261069e-06,
1.469999e+00,2.967938e-02,3.483767e-01,-9.368846e-01,4.256527e+01,-3.476739e+01,5.148397e-01,-6.960255e+01,9.980108e+01,-2.371378e+01,4.252282e-06,
1.499999e+00,2.944900e-02,3.514809e-01,-9.357317e-01,4.260532e+01,-3.467334e+01,5.147245e-01,-6.941274e+01,9.981859e+01,-2.371767e+01,4.248477e-06,
1.529999e+00,3.112078e-02,3.528171e-01,-9.351746e-01,4.247959e+01,-3.462819e+01,5.155604e-01,-6.932981e+01,9.973609e+01,-2.370989e+01,4.256090e-06,
1.559999e+00,2.839661e-02,3.561059e-01,-9.340140e-01,4.272038e+01,-3.453472e+01,5.141983e-01,-6.912995e+01,9.989111e+01,-2.371894e+01,4.247236e-06,
1.589999e+00,3.049162e-02,3.571893e-01,-9.335342e-01,4.256038e+01,-3.449630e+01,5.152458e-01,-6.906213e+01,9.980328e+01,-2.369860e+01,4.267172e-06,
1.619999e+00,3.038481e-02,3.592120e-01,-9.327612e-01,4.258250e+01,-3.443471e+01,5.151924e-01,-6.893800e+01,9.980630e+01,-2.369962e+01,4.266173e-06,
1.649999e+00,3.009135e-02,3.604993e-01,-9.322740e-01,4.261425e+01,-3.439605e+01,5.150457e-01,-6.885910e+01,9.980159e+01,-2.369378e+01,4.271908e-06,
1.679999e+00,3.012918e-02,3.632339e-01,-9.312107e-01,4.262917e+01,-3.431217e+01,5.150646e-01,-6.869092e+01,9.983830e+01,-2.369252e+01,4.273151e-06,
1.709999e+00,2.952872e-02,3.639357e-01,-9.309559e-01,4.268067e+01,-3.429216e+01,5.147644e-01,-6.864813e+01,9.979014e+01,-2.369321e+01,4.272466e-06,
1.739999e+00,3.115989e-02,3.662642e-01,-9.299890e-01,4.256864e+01,-3.421655e+01,5.155799e-01,-6.850364e+01,9.973354e+01,-2.368579e+01,4.279773e-06,
1.769999e+00,3.052816e-02,3.681504e-01,-9.292649e-01,4.262985e+01,-3.416026e+01,5.152641e-01,-6.838783e+01,9.977228e+01,-2.369774e+01,4.268011e-06,
1.799999e+00,3.050142e-02,3.702277e-01,-9.284402e-01,4.264515e+01,-3.409648e+01,5.152507e-01,-6.825971e+01,9.979884e+01,-2.370665e+01,4.259266e-06,
1.829999e+00,2.939911e-02,3.735893e-01,-9.271282e-01,4.275023e+01,-3.399575e+01,5.146996e-01,-6.805287e+01,9.983797e+01,-2.370724e+01,4.258693e-06,
1.859999e+00,3.063878e-02,3.742743e-01,-9.268117e-01,4.266005e+01,-3.397158e+01,5.153194e-01,-6.800967e+01,9.979279e+01,-2.369797e+01,4.267791e-06,
1.889999e+00,3.065628e-02,3.771934e-01,-9.256270e-01,4.267676e+01,-3.388155e+01,5.153281e-01,-6.782908e+01,9.979734e+01,-2.370056e+01,4.265249e-06,
1.919999e+00,3.064509e-02,3.781183e-01,-9.252499e-01,4.268326e+01,-3.385303e+01,5.153225e-01,-6.777183e+01,9.978201e+01,-2.370133e+01,4.264487e-06,
1.949999e+00,2.984403e-02,3.800979e-01,-9.244647e-01,4.275527e+01,-3.379388e+01,5.149220e-01,-6.764976e+01,9.983794e+01,-2.370088e+01,4.264929e-06,
1.979999e+00,2.896336e-02,3.809761e-01,-9.241311e-01,4.282625e+01,-3.376885e+01,5.144817e-01,-6.759593e+01,9.984736e+01,-2.370719e+01,4.258734e-06,
2.009999e+00,3.069339e-02,3.824763e-01,-9.234554e-01,4.270595e+01,-3.371829e+01,5.153467e-01,-6.750166e+01,9.977427e+01,-2.369838e+01,4.267383e-06,
2.039999e+00,3.070190e-02,3.839384e-01,-9.228481e-01,4.271402e+01,-3.367304e+01,5.153510e-01,-6.741091e+01,9.978631e+01,-2.370149e+01,4.264334e-06,
2.069999e+00,3.018305e-02,3.862705e-01,-9.218916e-01,4.276600e+01,-3.360210e+01,5.150915e-01,-6.726642e+01,9.981823e+01,-2.370744e+01,4.258492e-06,
2.099999e+00,2.994672e-02,3.855922e-01,-9.221832e-01,4.277954e+01,-3.362368e+01,5.149734e-01,-6.730875e+01,9.976946e+01,-2.371627e+01,4.249848e-06,
2.129999e+00,3.029476e-02,3.898517e-01,-9.203792e-01,4.277828e+01,-3.349079e+01,5.151474e-01,-6.704359e+01,9.982946e+01,-2.371343e+01,4.252622e-06,
2.159999e+00,2.931759e-02,3.899862e-01,-9.203538e-01,4.285041e+01,-3.348893e+01,5.146588e-01,-6.703592e+01,9.983499e+01,-2.371789e+01,4.248258e-06,
2.189999e+00,2.971378e-02,3.902592e-01,-9.202254e-01,4.282299e+01,-3.347953e+01,5.148569e-01,-6.701864e+01,9.977203e+01,-2.372114e+01,4.245079e-06,
2.219999e+00,2.925967e-02,3.930036e-01,-9.190713e-01,4.287105e+01,-3.339534e+01,5.146298e-01,-6.684799e+01,9.981161e+01,-2.372401e+01,4.242273e-06,
2.249999e+00,3.021226e-02,3.934068e-01,-9.188679e-01,4.280425e+01,-3.338057e+01,5.151061e-01,-6.682215e+01,9.975457e+01,-2.372238e+01,4.243865e-06,
2.279999e+00,2.873972e-02,3.962707e-01,-9.176838e-01,4.292593e+01,-3.329489e+01,5.143699e-01,-6.664453e+01,9.986264e+01,-2.372050e+01,4.245708e-06,
2.309999e+00,2.809716e-02,3.971658e-01,-9.173167e-01,4.297670e+01,-3.326845e+01,5.140486e-01,-6.658909e+01,9.987231e+01,-2.371748e+01,4.248665e-06,
2.339999e+00,2.844990e-02,3.987947e-01,-9.165988e-01,4.295972e+01,-3.321690e+01,5.142250e-01,-6.648706e+01,9.986168e+01,-2.369959e+01,4.266195e-06,
2.369999e+00,3.015399e-02,3.995669e-01,-9.162080e-01,4.284213e+01,-3.318893e+01,5.150770e-01,-6.643753e+01,9.980816e+01,-2.368458e+01,4.280971e-06,
2.399999e+00,2.921888e-02,4.008496e-01,-9.156778e-01,4.291547e+01,-3.315108e+01,5.146094e-01,-6.635799e+01,9.988408e+01,-2.368275e+01,4.282771e-06,
2.429999e+00,2.901554e-02,4.011021e-01,-9.155737e-01,4.293123e+01,-3.314367e+01,5.145078e-01,-6.634234e+01,9.983806e+01,-2.369652e+01,4.269213e-06,
2.459999e+00,2.793558e-02,4.029291e-01,-9.148048e-01,4.301698e+01,-3.308901e+01,5.139678e-01,-6.622873e+01,9.989145e+01,-2.369642e+01,4.269310e-06,
2.489999e+00,2.932696e-02,4.032803e-01,-9.146064e-01,4.292036e+01,-3.307495e+01,5.146635e-01,-6.620572e+01,9.985096e+01,-2.368563e+01,4.279931e-06,
2.519999e+00,2.916943e-02,4.027243e-01,-9.148564e-01,4.292864e+01,-3.309267e+01,5.145847e-01,-6.624067e+01,9.978960e+01,-2.369901e+01,4.266769e-06,
2.549999e+00,2.884600e-02,4.045087e-01,-9.140791e-01,4.296054e+01,-3.303764e+01,5.144230e-01,-6.612911e+01,9.981421e+01,-2.370711e+01,4.258816e-06,
2.579999e+00,2.861571e-02,4.066580e-01,-9.131322e-01,4.298742e+01,-3.297092e+01,5.143079e-01,-6.599448e+01,9.986997e+01,-2.371998e+01,4.246218e-06,
2.609999e+00,2.859520e-02,4.073962e-01,-9.128037e-01,4.299249e+01,-3.294786e+01,5.142976e-01,-6.594817e+01,9.986813e+01,-2.371514e+01,4.250953e-06,
2.639999e+00,2.916765e-02,4.086962e-01,-9.122043e-01,4.295893e+01,-3.290588e+01,5.145838e-01,-6.586612e+01,9.983601e+01,-2.371364e+01,4.252416e-06,
2.669999e+00,2.881975e-02,4.101614e-01,-9.115575e-01,4.299038e+01,-3.286074e+01,5.144099e-01,-6.577432e+01,9.982781e+01,-2.371899e+01,4.247184e-06,
2.699999e+00,2.954850e-02,4.117839e-01,-9.108023e-01,4.294782e+01,-3.280823e+01,5.147742e-01,-6.567174e+01,9.978432e+01,-2.371876e+01,4.247405e-06,
2.729999e+00,2.894865e-02,4.139169e-01,-9.098543e-01,4.299967e+01,-3.274261e+01,5.144743e-01,-6.553795e+01,9.981501e+01,-2.372806e+01,4.238323e-06,
